video,frame,sports_ball_positions,LEFT_SHOULDER_vel,RIGHT_SHOULDER_vel,LEFT_SHOULDER_acc,RIGHT_SHOULDER_acc,LEFT_ELBOW_vel,RIGHT_ELBOW_vel,LEFT_ELBOW_acc,RIGHT_ELBOW_acc,LEFT_WRIST_vel,RIGHT_WRIST_vel,LEFT_WRIST_acc,RIGHT_WRIST_acc,LEFT_HIP_vel,RIGHT_HIP_vel,LEFT_HIP_acc,RIGHT_HIP_acc,NOSE_pos_x,NOSE_pos_y,LEFT_SHOULDER_pos_x,LEFT_SHOULDER_pos_y,RIGHT_SHOULDER_pos_x,RIGHT_SHOULDER_pos_y,LEFT_ELBOW_pos_x,LEFT_ELBOW_pos_y,RIGHT_ELBOW_pos_x,RIGHT_ELBOW_pos_y,LEFT_WRIST_pos_x,LEFT_WRIST_pos_y,RIGHT_WRIST_pos_x,RIGHT_WRIST_pos_y,LEFT_HIP_pos_x,LEFT_HIP_pos_y,RIGHT_HIP_pos_x,RIGHT_HIP_pos_y,LEFT_ELBOW_LEFT_SHOULDER_LEFT_WRIST_angle,RIGHT_ELBOW_RIGHT_SHOULDER_RIGHT_WRIST_angle,LEFT_SHOULDER_LEFT_HIP_LEFT_ELBOW_angle,RIGHT_SHOULDER_RIGHT_HIP_RIGHT_ELBOW_angle,is_shot,shot_id,shot_invalid,make
long_vid.mov,13,"77.59,-96.73",26.57,23.52,-589.46,-1099.38,57.05,9.91,-55.66,-1104.89,65.37,33.24,-1355.82,-1813.02,22.58,22.58,-194.35,-194.35,45.73,-318.81,78.95,-217.62,-65.61,-231.41,100.62,-103.4,-92.87,-114.43,69.87,-96.87,-18.01,-93.41,35.16,4.85,-35.16,-4.85,91.24,92.56,21.88,20.77,0,0,0,
long_vid.mov,14,"75.35,-96.81",25.0,25.37,-86.7,102.13,59.0,13.98,107.46,224.65,72.39,54.4,386.85,1166.06,29.57,29.57,385.01,385.01,46.09,-317.95,78.84,-217.91,-65.86,-231.72,100.95,-104.11,-92.76,-114.82,71.23,-96.81,-19.27,-93.58,35.68,4.72,-35.68,-4.72,92.8,93.17,21.97,20.53,0,0,0,
long_vid.mov,15,"76.47,-96.06",20.82,19.29,-230.16,-335.23,54.01,21.42,-275.35,409.63,47.29,53.33,-1383.19,-58.6,16.94,16.94,-695.64,-695.64,47.05,-316.76,78.68,-217.62,-66.15,-231.47,101.4,-105.27,-92.22,-114.56,71.79,-96.56,-20.01,-92.86,35.79,4.57,-35.79,-4.57,94.96,94.15,22.36,20.19,0,0,0,
long_vid.mov,16,"77.88,-90.72",45.96,44.32,1385.21,1379.33,93.96,62.71,2201.53,2275.74,48.18,74.08,49.04,1143.47,18.28,18.28,73.48,73.48,48.35,-315.16,79.6,-215.99,-65.24,-230.11,103.91,-103.46,-90.37,-113.04,72.25,-96.11,-19.38,-91.24,35.55,4.68,-35.55,-4.68,90.88,94.96,23.48,19.62,0,0,0,
long_vid.mov,17,"79.59,-82.69",86.13,77.04,2213.83,1803.29,104.57,108.3,584.87,2511.96,114.88,101.85,3675.45,1530.14,11.94,11.94,-349.38,-349.38,49.34,-312.23,80.8,-213.81,-64.71,-227.99,103.68,-102.11,-88.96,-110.51,76.35,-93.26,-19.77,-88.5,35.35,4.68,-35.35,-4.68,96.37,95.99,23.33,19.15,0,0,0,
long_vid.mov,18,"80.89,-73.77",122.13,83.56,1983.67,359.3,106.97,123.49,132.26,837.44,290.58,105.67,9682.12,210.33,15.06,15.06,172.12,172.12,49.53,-311.29,82.88,-212.84,-64.65,-227.26,102.75,-101.11,-87.88,-109.56,81.6,-84.53,-20.46,-87.47,35.7,4.75,-35.7,-4.75,118.01,96.98,22.32,18.58,0,0,0,
long_vid.mov,19,"84.99,-60.26",131.46,81.79,514.15,-97.54,85.23,122.76,-1198.03,-40.23,402.3,110.85,6156.55,285.45,13.76,13.76,-71.45,-71.45,50.63,-309.28,84.1,-210.81,-63.99,-225.88,102.49,-99.22,-86.22,-107.9,80.48,-77.91,-21.38,-85.67,35.73,4.55,-35.73,-4.55,124.73,98.25,22.02,17.95,0,0,0,
long_vid.mov,20,"87.2,-44.96",125.08,55.16,-351.58,-1467.87,120.64,104.89,1951.16,-984.76,513.19,98.84,6110.82,-661.65,17.1,17.1,183.88,183.88,50.74,-307.71,85.5,-209.19,-64.24,-225.19,99.41,-98.05,-84.83,-106.57,79.13,-66.96,-22.94,-84.23,36.02,4.32,-36.02,-4.32,139.74,99.99,20.18,17.13,0,0,0,
long_vid.mov,21,"88.28,-25.2",103.96,53.71,-1163.68,-79.54,187.69,112.23,3695.29,404.3,553.57,93.26,2225.22,-307.68,14.92,14.92,-120.13,-120.13,51.41,-306.73,85.62,-208.05,-63.65,-225.48,94.41,-97.67,-83.05,-106.12,77.83,-54.64,-22.96,-83.29,36.02,4.56,-36.02,-4.56,154.37,101.56,17.68,16.36,0,0,0,
long_vid.mov,22,"90.58,-1.98",79.86,38.84,-1328.08,-819.62,280.91,103.04,5136.71,-506.62,617.95,89.1,3547.79,-229.06,12.6,12.6,-128.03,-128.03,52.07,-305.85,85.36,-207.02,-63.23,-226.07,87.43,-97.79,-81.2,-106.13,77.71,-44.42,-21.3,-82.61,36.06,4.62,-36.06,-4.62,168.59,102.91,14.2,15.51,0,0,0,
long_vid.mov,23,"93.76,24.39",77.28,34.98,-142.54,-212.53,284.69,84.61,208.67,-1015.26,651.51,118.11,1849.76,1598.47,8.55,8.55,-222.81,-222.81,52.83,-304.23,85.26,-205.02,-62.71,-226.09,85.06,-95.22,-80.39,-105.7,77.54,-31.56,-17.91,-81.13,36.02,4.76,-36.02,-4.76,173.37,103.11,13.11,15.23,0,0,0,
long_vid.mov,24,"96.59,58.02",63.04,43.8,-784.54,485.68,198.21,69.94,-4765.66,-808.6,588.45,134.36,-3475.42,895.67,13.78,13.78,287.84,287.84,52.92,-303.69,85.06,-204.71,-62.61,-227.22,84.82,-95.02,-80.01,-106.67,77.28,-22.61,-17.07,-79.51,35.85,4.27,-35.85,-4.27,174.18,105.12,13.13,15.06,0,0,0,
long_vid.mov,25,"96.94,91.47",99.76,115.37,2023.35,3944.19,146.57,124.51,-2845.91,3007.19,520.52,155.05,-3743.05,1140.35,31.06,31.06,952.62,952.62,52.49,-307.63,84.48,-207.71,-62.86,-231.84,83.85,-99.07,-79.21,-111.42,80.88,-17.17,-16.53,-82.38,35.54,3.3,-35.54,-3.3,178.26,107.12,12.73,14.55,0,0,0,
