Frame,Time (s),Video Title
1,0.1907179355621338,one
2,0.21588897705078125,one
3,0.23958992958068848,one
4,0.2646515369415283,one
5,0.2892944812774658,one
6,0.313413143157959,one
7,0.3360302448272705,one
8,0.35915517807006836,one
9,0.38228940963745117,one
10,0.40929079055786133,one
11,0.4339001178741455,one
12,0.4575793743133545,one
13,0.4811737537384033,one
14,0.5047781467437744,one
15,0.5289714336395264,one
16,0.5535898208618164,one
17,0.5769302845001221,one
18,0.6010644435882568,one
19,0.6261014938354492,one
20,0.6511263847351074,one
21,0.6761560440063477,one
22,0.7001736164093018,one
23,0.7243430614471436,one
24,0.7486577033996582,one
25,0.7741103172302246,one
26,0.799163818359375,one
27,0.8228030204772949,one
28,0.8494174480438232,one
29,0.8739471435546875,one
30,0.8990271091461182,one
31,0.9226353168487549,one
32,0.9472353458404541,one
33,0.9724318981170654,one
34,0.9985032081604004,one
35,1.0271286964416504,one
36,1.0507769584655762,one
37,1.0754313468933105,one
38,1.098555564880371,one
39,1.121553659439087,one
40,1.1452031135559082,one
41,1.1698377132415771,one
42,1.1944706439971924,one
43,1.2190570831298828,one
44,1.2431566715240479,one
45,1.2664144039154053,one
46,1.29052734375,one
47,1.313173532485962,one
48,1.3352820873260498,one
49,1.3578054904937744,one
50,1.3789124488830566,one
51,1.4011073112487793,one
52,1.4231584072113037,one
53,1.4457581043243408,one
54,1.4684159755706787,one
55,1.4910283088684082,one
56,1.5131802558898926,one
57,1.5362985134124756,one
58,1.5594239234924316,one
59,1.582538366317749,one
60,1.604142189025879,one
61,1.6262705326080322,one
62,1.650012731552124,one
63,1.6716258525848389,one
64,1.6952235698699951,one
65,1.7197604179382324,one
66,1.742478847503662,one
67,1.7656033039093018,one
68,1.7881457805633545,one
69,1.8121778964996338,one
70,1.836848258972168,one
71,1.8595952987670898,one
72,1.883126974105835,one
73,1.9062182903289795,one
74,1.929325819015503,one
75,1.9534275531768799,one
76,1.9760997295379639,one
77,1.9983737468719482,one
78,2.0217857360839844,one
79,2.046036720275879,one
80,2.06840181350708,one
81,2.0910215377807617,one
82,2.113755941390991,one
83,2.1377830505371094,one
84,2.161054849624634,one
85,2.1836788654327393,one
86,2.2061767578125,one
87,2.228959083557129,one
88,2.251607656478882,one
89,2.2736916542053223,one
90,2.2960622310638428,one
91,2.319044828414917,one
92,2.3424770832061768,one
93,2.3661999702453613,one
94,2.3900070190429688,one
95,2.4143052101135254,one
96,2.4367775917053223,one
97,2.459195375442505,one
98,2.481532096862793,one
99,2.5037169456481934,one
100,2.5262451171875,one
101,2.5493528842926025,one
102,2.574465036392212,one
103,2.597611904144287,one
104,2.6215085983276367,one
105,2.6442389488220215,one
106,2.667341470718384,one
107,2.691178321838379,one
108,2.715777635574341,one
109,2.7374939918518066,one
110,2.759263753890991,one
111,2.7831902503967285,one
112,2.807157039642334,one
113,2.8296892642974854,one
114,2.852360248565674,one
115,2.875452756881714,one
116,2.8979673385620117,one
117,2.9265177249908447,one
118,2.9497344493865967,one
119,2.9729385375976562,one
120,2.9970409870147705,one
121,3.0197031497955322,one
122,3.046720027923584,one
123,3.073887825012207,one
124,3.0984535217285156,one
125,3.1214418411254883,one
126,3.1430552005767822,one
127,3.164231300354004,one
128,3.18833589553833,one
129,3.213839292526245,one
130,3.2368545532226562,one
131,3.2595343589782715,one
132,3.2823967933654785,one
133,3.305431842803955,one
134,3.328444480895996,one
135,3.3503851890563965,one
136,3.3730952739715576,one
137,3.3963701725006104,one
138,3.4183013439178467,one
139,3.440978527069092,one
140,3.465742349624634,one
141,3.488693952560425,one
142,3.513322591781616,one
143,3.536064624786377,one
144,3.558023691177368,one
145,3.5810720920562744,one
146,3.6036839485168457,one
147,3.6262123584747314,one
148,3.6485397815704346,one
149,3.671462059020996,one
150,3.6941206455230713,one
151,3.716416835784912,one
152,3.739654779434204,one
153,3.762718439102173,one
154,3.7881951332092285,one
155,3.8112525939941406,one
156,3.8337929248809814,one
157,3.85809063911438,one
158,3.8801257610321045,one
159,3.902169704437256,one
160,3.9386067390441895,one
161,3.9633116722106934,one
162,3.9865193367004395,one
163,4.010663986206055,one
164,4.033850431442261,one
165,4.058775186538696,one
166,4.0828728675842285,one
167,4.105684518814087,one
168,4.1285998821258545,one
169,4.152324438095093,one
170,4.174111843109131,one
171,4.1974546909332275,one
172,4.219550371170044,one
173,4.2435386180877686,one
174,4.267831325531006,one
175,4.289573907852173,one
176,4.313442707061768,one
177,4.335139513015747,one
178,4.3585851192474365,one
179,4.382088899612427,one
180,4.4040234088897705,one
181,4.427288770675659,one
182,4.451521158218384,one
183,4.473846912384033,one
184,4.497370481491089,one
185,4.520346641540527,one
186,4.542311668395996,one
187,4.56484055519104,one
188,4.588271379470825,one
189,4.612914562225342,one
190,4.637754678726196,one
191,4.6592888832092285,one
192,4.681367635726929,one
193,4.704529047012329,one
194,4.728714466094971,one
195,4.75185227394104,one
196,4.774836540222168,one
197,4.799929618835449,one
198,4.820806980133057,one
199,4.845365047454834,one
200,4.868234157562256,one
201,4.891517162322998,one
202,4.91490364074707,one
203,4.938399076461792,one
204,4.963993072509766,one
205,4.986349821090698,one
206,5.008233070373535,one
207,5.032428741455078,one
208,5.057678699493408,one
209,5.081000328063965,one
210,5.103904485702515,one
211,5.126242637634277,one
212,5.148766994476318,one
213,5.172008275985718,one
214,5.1958935260772705,one
215,5.2190001010894775,one
216,5.241959095001221,one
217,5.265990972518921,one
218,5.288532018661499,one
219,5.311116695404053,one
220,5.334487438201904,one
221,5.358660459518433,one
222,5.382123947143555,one
223,5.4064788818359375,one
224,5.4290759563446045,one
225,5.453180551528931,one
226,5.475815773010254,one
227,5.499400854110718,one
228,5.524962663650513,one
229,5.549164772033691,one
230,5.5721893310546875,one
231,5.5942957401275635,one
232,5.617904901504517,one
233,5.6400065422058105,one
234,5.6625871658325195,one
235,5.686745643615723,one
236,5.709826231002808,one
237,5.733929872512817,one
238,5.757516384124756,one
239,5.7816972732543945,one
240,5.804302215576172,one
241,5.827399492263794,one
242,5.8504533767700195,one
243,5.874554634094238,one
244,5.898148059844971,one
245,5.921749591827393,one
246,5.94530725479126,one
247,5.975905179977417,one
248,6.003235816955566,one
249,6.0264997482299805,one
250,6.049869060516357,one
251,6.072934627532959,one
252,6.09571385383606,one
253,6.117864370346069,one
254,6.140960693359375,one
255,6.164134979248047,one
256,6.186888217926025,one
257,6.209674119949341,one
258,6.231968879699707,one
259,6.2552080154418945,one
260,6.2774434089660645,one
261,6.30070424079895,one
262,6.326578855514526,one
263,6.34967565536499,one
264,6.372335910797119,one
265,6.396083354949951,one
266,6.419187068939209,one
267,6.443243026733398,one
268,6.46480917930603,one
269,6.488187313079834,one
270,6.511009216308594,one
271,6.5325493812561035,one
272,6.555187463760376,one
273,6.5795814990997314,one
274,6.602615594863892,one
275,6.624475002288818,one
276,6.646488904953003,one
277,6.668967008590698,one
278,6.691871404647827,one
279,6.71407413482666,one
280,6.736166715621948,one
281,6.7588112354278564,one
282,6.782480239868164,one
283,6.805600643157959,one
284,6.829201698303223,one
285,6.851279973983765,one
286,6.874429225921631,one
287,6.897512197494507,one
288,6.92034912109375,one
289,6.943482875823975,one
290,6.966024875640869,one
291,6.989546298980713,one
292,7.017211198806763,one
293,7.0408594608306885,one
294,7.063954591751099,one
