Frame,Time (s),Video Title,left_shoulder_position_x,left_shoulder_position_y,left_shoulder_position_z,left_shoulder_velocity_x,left_shoulder_velocity_y,left_shoulder_velocity_z,left_shoulder_acceleration_x,left_shoulder_acceleration_y,left_shoulder_acceleration_z,right_shoulder_position_x,right_shoulder_position_y,right_shoulder_position_z,right_shoulder_velocity_x,right_shoulder_velocity_y,right_shoulder_velocity_z,right_shoulder_acceleration_x,right_shoulder_acceleration_y,right_shoulder_acceleration_z,left_elbow_position_x,left_elbow_position_y,left_elbow_position_z,left_elbow_velocity_x,left_elbow_velocity_y,left_elbow_velocity_z,left_elbow_acceleration_x,left_elbow_acceleration_y,left_elbow_acceleration_z,right_elbow_position_x,right_elbow_position_y,right_elbow_position_z,right_elbow_velocity_x,right_elbow_velocity_y,right_elbow_velocity_z,right_elbow_acceleration_x,right_elbow_acceleration_y,right_elbow_acceleration_z,left_wrist_position_x,left_wrist_position_y,left_wrist_position_z,left_wrist_velocity_x,left_wrist_velocity_y,left_wrist_velocity_z,left_wrist_acceleration_x,left_wrist_acceleration_y,left_wrist_acceleration_z,right_wrist_position_x,right_wrist_position_y,right_wrist_position_z,right_wrist_velocity_x,right_wrist_velocity_y,right_wrist_velocity_z,right_wrist_acceleration_x,right_wrist_acceleration_y,right_wrist_acceleration_z,left_hip_position_x,left_hip_position_y,left_hip_position_z,left_hip_velocity_x,left_hip_velocity_y,left_hip_velocity_z,left_hip_acceleration_x,left_hip_acceleration_y,left_hip_acceleration_z,right_hip_position_x,right_hip_position_y,right_hip_position_z,right_hip_velocity_x,right_hip_velocity_y,right_hip_velocity_z,right_hip_acceleration_x,right_hip_acceleration_y,right_hip_acceleration_z,left_knee_position_x,left_knee_position_y,left_knee_position_z,left_knee_velocity_x,left_knee_velocity_y,left_knee_velocity_z,left_knee_acceleration_x,left_knee_acceleration_y,left_knee_acceleration_z,right_knee_position_x,right_knee_position_y,right_knee_position_z,right_knee_velocity_x,right_knee_velocity_y,right_knee_velocity_z,right_knee_acceleration_x,right_knee_acceleration_y,right_knee_acceleration_z,left_ankle_position_x,left_ankle_position_y,left_ankle_position_z,left_ankle_velocity_x,left_ankle_velocity_y,left_ankle_velocity_z,left_ankle_acceleration_x,left_ankle_acceleration_y,left_ankle_acceleration_z,right_ankle_position_x,right_ankle_position_y,right_ankle_position_z,right_ankle_velocity_x,right_ankle_velocity_y,right_ankle_velocity_z,right_ankle_acceleration_x,right_ankle_acceleration_y,right_ankle_acceleration_z,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle
1,0.1992764472961425,four,0.0273350775241851,-0.2290590405464172,-0.464205302298069,,,,,,,-0.0606290400028228,-0.2276788353919983,0.1645041033625602,,,,,,,0.0853610932826995,-0.0953287482261657,-0.353309579193592,,,,,,,-0.0484378635883331,-0.1160623431205749,0.2695298120379448,,,,,,,-0.1165933310985565,-0.0835580825805664,-0.1079220995306968,,,,,,,-0.164601057767868,-0.0991952419281005,0.0951664671301841,,,,,,,0.0243339240550994,0.0058946013450622,-0.1788126900792122,,,,,,,-0.0243339240550994,-0.0058946013450622,0.1788126900792122,,,,,,,-0.0413930714130401,0.1805845499038696,-0.1064487099647522,,,,,,,-0.0625694692134857,0.1569090485572815,0.2984242066740989,,,,,,,-0.0072246491909027,0.320586621761322,0.1560827866196632,,,,,,,-0.0147220790386199,0.2953738570213318,0.5073940083384514,,,,,,,107.03826602001462,56.479129441160325,21.74011626313703,39.53856345548965,146.75812349565268,141.89121636123951,133.42234765460296,150.58660487203164
2,0.2260403633117675,four,0.0275709629058837,-0.2348637580871582,-0.449398934841156,,,,,,,-0.0586475133895874,-0.2337453961372375,0.2024045288562774,,,,,,,0.0884292721748352,-0.1014971733093261,-0.354564368724823,,,,,,,-0.0475762486457824,-0.1188512444496154,0.2870778739452362,,,,,,,-0.1141167283058166,-0.0894856452941894,-0.1166216656565666,,,,,,,-0.1622970402240753,-0.1071959733963012,0.0949466750025749,,,,,,,0.0239800810813903,0.0064104199409484,-0.1846559643745422,,,,,,,-0.0239800810813903,-0.0064104199409484,0.1846559643745422,,,,,,,-0.0430237054824829,0.189651608467102,-0.1069865375757217,,,,,,,-0.0615877509117126,0.166191816329956,0.2984768450260162,,,,,,,-0.0034060478210449,0.3361831903457641,0.1207426413893699,,,,,,,-0.0147890448570251,0.3104311227798462,0.4956273734569549,,,,,,,102.525185736752,59.66817323619503,24.155277758142283,40.78378858148885,149.80064406580058,137.81453927882345,136.7823194320113,150.68762999580517
3,0.2523531913757324,four,0.0256004929542541,-0.2359224259853363,-0.4506928324699402,,,,,,,-0.0584339499473571,-0.2344669997692108,0.1980880349874496,,,,,,,0.0905293226242065,-0.1033274233341217,-0.3678210973739624,,,,,,,-0.0373116135597229,-0.1165148317813873,0.2864337563514709,,,,,,,-0.1134858131408691,-0.0903085172176361,-0.1310498267412185,,,,,,,-0.1561067998409271,-0.1077702939510345,0.1013476401567459,,,,,,,0.0235393643379211,0.0061049759387969,-0.1852307915687561,,,,,,,-0.0235393643379211,-0.0061049759387969,0.1852307915687561,,,,,,,-0.045702040195465,0.1892947256565094,-0.1077867373824119,,,,,,,-0.0604584217071533,0.1651873886585235,0.2971245944499969,,,,,,,-0.0047876238822937,0.3350395858287811,0.1241427063941955,,,,,,,-0.0160977840423584,0.3101383149623871,0.4810418486595154,,,,,,,98.7989646112829,57.03619355885597,27.484120011695097,39.6093436075784,149.28076840905075,139.15641456837216,135.81784069532534,152.0476078272464
4,0.2781286239624023,four,0.0250192582607269,-0.2376501858234405,-0.4460804983973503,,,,,,,-0.058661550283432,-0.2354790866374969,0.1954397931694984,,,,,,,0.0908736288547515,-0.1045044362545013,-0.3674644157290458,,,,,,,-0.031250923871994,-0.1162373721599578,0.2926687970757484,,,,,,,-0.1131339371204376,-0.091365247964859,-0.128443069756031,,,,,,,-0.1533126831054687,-0.1073910295963287,0.1330483630299568,,,,,,,0.0233570039272308,0.0052453577518463,-0.1851622685790062,,,,,,,-0.0233570039272308,-0.0052453577518463,0.1851622685790062,,,,,,,-0.0449848473072052,0.1917196214199066,-0.1188700124621391,,,,,,,-0.0564354956150054,0.1670790612697601,0.288899727165699,,,,,,,-0.0002678930759429,0.3369561731815338,0.1255690976977348,,,,,,,-0.0121202170848846,0.3135737478733063,0.4680071249604225,,,,,,,97.72534213019048,55.48570611255774,28.314406320975998,41.185072412584624,147.1513739585409,141.98033280778245,131.88120994803293,151.8897882972238
5,0.3036026954650879,four,0.0204878747463226,-0.2388039231300354,-0.4562597051262855,,,,,,,-0.0588559210300445,-0.236735999584198,0.1924996450543403,,,,,,,0.0887723863124847,-0.1054129004478454,-0.3864697590470314,,,,,,,-0.0274150669574737,-0.1158114671707153,0.290600411593914,,,,,,,-0.115758866071701,-0.092418372631073,-0.1375351324677467,,,,,,,-0.1494934260845184,-0.1084707975387573,0.1292290613055229,,,,,,,0.0214082896709442,0.0047569274902343,-0.1887675449252128,,,,,,,-0.0214082896709442,-0.0047569274902343,0.1887675449252128,,,,,,,-0.0501244962215423,0.1960866451263427,-0.1445148959755897,,,,,,,-0.0563480556011199,0.168287992477417,0.2898707613348961,,,,,,,-0.0045651495456695,0.3382264971733093,0.1282636746764183,,,,,,,-0.0157754719257354,0.3159361481666565,0.4728167280554771,,,,,,,95.53386137406378,54.27431567819151,31.076097100431998,39.36408158604457,140.53466811317722,143.54902592516098,123.6461153187542,151.4405048342597
6,0.3294847011566162,four,0.0174782574176788,-0.239488422870636,-0.4559018015861511,,,,,,,-0.0562549531459808,-0.2371716499328613,0.1907471567392349,,,,,,,0.0881477296352386,-0.105889618396759,-0.3910253345966339,,,,,,,-0.0024337470531463,-0.1184835433959961,0.2897012531757355,,,,,,,-0.1151767075061798,-0.0921174883842468,-0.1629354506731033,,,,,,,-0.141140729188919,-0.1053796410560607,0.1240250766277313,,,,,,,0.0200600922107696,0.0047378540039062,-0.1894147098064422,,,,,,,-0.0200600922107696,-0.0047378540039062,0.1894147098064422,,,,,,,-0.0516941249370574,0.1978631615638733,-0.1547847837209701,,,,,,,-0.0533812344074249,0.1697807908058166,0.2881802320480346,,,,,,,-0.0004500448703765,0.3395363092422485,0.1273133456707,,,,,,,-0.0125484764575958,0.3165297508239746,0.4720213711261749,,,,,,,92.58481187094192,50.97330104795448,32.57832669715272,40.19356180447419,138.1000609409791,145.11624539602076,120.04610678723652,150.90293444342217
7,0.3546531200408935,four,0.0150899589061737,-0.2392971813678741,-0.4697201400995254,,,,,,,-0.0558630526065826,-0.2370301783084869,0.1785845607519149,,,,,,,0.0871224105358123,-0.1056865751743316,-0.4187570959329605,,,,,,,-0.0068127214908599,-0.1218108236789703,0.2783515900373459,,,,,,,-0.1130891740322113,-0.0890897214412689,-0.2231858074665069,,,,,,,-0.1406278312206268,-0.1040534079074859,0.1178697124123573,,,,,,,0.018970102071762,0.0048885643482208,-0.1929425299167633,,,,,,,-0.018970102071762,-0.0048885643482208,0.1929425299167633,,,,,,,-0.0550577938556671,0.1965002119541168,-0.1488377153873443,,,,,,,-0.0524313747882843,0.169644683599472,0.2912261933088302,,,,,,,-0.0046280324459075,0.3406148254871368,0.128378689289093,,,,,,,-0.0128283202648162,0.3173739016056061,0.4795833081007004,,,,,,,87.1433660126717,52.30853834073581,37.305649866151285,37.30928881703194,139.20425471210393,148.30938911331535,122.89055556397814,150.70196672388047
8,0.3810610771179199,four,0.009224385023117,-0.2385740578174591,-0.474160373210907,,,,,,,-0.0577262341976165,-0.2367866933345794,0.1675741076469421,,,,,,,0.0846630632877349,-0.1049648821353912,-0.4262673258781433,,,,,,,-0.0135184228420257,-0.1254561245441436,0.3169385492801666,,,,,,,-0.1159562766551971,-0.0860693752765655,-0.2446698397397995,,,,,,,-0.1441141366958618,-0.1036047041416168,0.2601916790008545,,,,,,,0.0156830847263336,0.0051319301128387,-0.1954464614391327,,,,,,,-0.0156830847263336,-0.0051319301128387,0.1954464614391327,,,,,,,-0.0605076253414154,0.1971002519130706,-0.1397237330675125,,,,,,,-0.0425389111042022,0.1713206470012664,0.2981294393539428,,,,,,,-0.0096935927867889,0.3445185720920563,0.1212186217308044,,,,,,,-0.0093149244785308,0.3199553787708282,0.4948881864547729,,,,,,,84.85163619440583,64.63299625761607,38.782446988628365,45.5076255732936,141.30268231279985,150.7856957564171,126.81676977294646,152.72492015700044
9,0.4062306880950928,four,0.005432516336441,-0.2382260262966156,-0.4730362966656685,,,,,,,-0.0559860169887542,-0.2366628348827362,0.1507689282298088,,,,,,,0.0836900174617767,-0.1048450171947479,-0.4169398918747902,,,,,,,-0.0075086653232574,-0.1220833957195282,0.3116152808070183,,,,,,,-0.1161560714244842,-0.0846717655658721,-0.2136384323239326,,,,,,,-0.1419946849346161,-0.1021784842014312,0.2514367327094078,,,,,,,0.0136032402515411,0.0052254498004913,-0.193992368876934,,,,,,,-0.0136032402515411,-0.0052254498004913,0.193992368876934,,,,,,,-0.0511088669300079,0.1960702240467071,-0.0687644481658935,,,,,,,-0.0364131033420562,0.1710363924503326,0.3093534335494041,,,,,,,-0.0056518614292144,0.3433229625225067,0.1509428396821022,,,,,,,-0.0032128393650054,0.3179540336132049,0.5174277648329735,,,,,,,88.11768910835508,62.58865654018658,36.84176558661581,43.08986786664591,156.9683999274151,152.13924679830322,145.8194496016268,154.540931328442
10,0.431248664855957,four,0.003297746181488,-0.2381123602390289,-0.4800069481134414,,,,,,,-0.0568727850914001,-0.2366178333759308,0.153602123260498,,,,,,,0.083562433719635,-0.1048049628734588,-0.4143797904253006,,,,,,,-0.008548617362976,-0.1176281869411468,0.2999010533094406,,,,,,,-0.1142734885215759,-0.0845336616039276,-0.1490133106708526,,,,,,,-0.1408164501190185,-0.1021051704883575,0.2109390348196029,,,,,,,0.0147225856781005,0.0051639974117279,-0.195889264345169,,,,,,,-0.0147225856781005,-0.0051639974117279,0.195889264345169,,,,,,,-0.0470089316368103,0.1958889663219452,-0.0801529884338378,,,,,,,-0.038493812084198,0.172475665807724,0.3144183307886123,,,,,,,0.0031076073646545,0.3454166948795318,0.1497759371995926,,,,,,,0.0002267956733703,0.3190636932849884,0.5138366669416428,,,,,,,94.34030301514636,55.72191333562487,34.64224426591528,39.77337308022058,155.10970790207256,151.47356127221235,143.73309577578848,154.9295072696018
